Time,NepseIndex
2002-07-22,221.65
2002-07-23,221.49
2002-07-24,221.75
2002-07-25,224.17
2002-07-26,224.47
2002-07-29,224.65
2002-07-30,224.57
2002-08-01,223.86
2002-08-02,224.52
2002-08-05,223.84
2002-08-06,223.84
2002-08-07,223.63
2002-08-08,223.68
2002-08-09,224.03
2002-08-12,223.77
2002-08-13,224.32
2002-08-14,225.39
2002-08-15,226.02
2002-08-16,226.57
2002-08-19,226.37
2002-08-20,227.58
2002-08-21,228.4
2002-08-22,229.02
2002-08-23,229.88
2002-08-26,230.01
2002-08-27,228.96
2002-08-28,228.54
2002-08-29,227.36
2002-09-02,225.38
2002-09-03,225.3
2002-09-04,225.03
2002-09-05,224.86
2002-09-06,224.55
2002-09-09,223.92
2002-09-10,223.71
2002-09-11,223.87
2002-09-12,223.79
2002-09-13,223.03
2002-09-16,222.98
2002-09-17,222.87
2002-09-18,222.77
2002-09-19,223.14
2002-09-23,222.12
2002-09-24,219.97
2002-09-25,218.48
2002-09-26,218.22
2002-09-27,218.19
2002-09-30,217.53
2002-10-02,217.11
2002-10-03,218.03
2002-10-04,217.9
2002-10-08,218.76
2002-10-09,218.88
2002-10-10,219.33
2002-10-11,219.26
2002-10-18,219.38
2002-10-21,219.16
2002-10-22,219.69
2002-10-23,220.03
2002-10-24,221.08
2002-10-25,220.78
2002-10-28,220.97
2002-10-29,223.11
2002-10-30,224.33
2002-10-31,225.4
2002-11-01,225.65
2002-11-07,224.29
2002-11-08,223.94
2002-11-11,222.97
2002-11-12,222.67
2002-11-13,222.49
2002-11-14,221.57
2002-11-15,220.73
2002-11-18,220.59
2002-11-19,220.37
2002-11-20,220.43
2002-11-21,219.25
2002-11-22,217.36
2002-11-25,217.1
2002-11-26,217.11
2002-11-27,217.31
2002-11-28,217.44
2002-12-02,216.98
2002-12-03,216.26
2002-12-04,216.75
2002-12-05,217.2
2002-12-06,216.79
2002-12-09,216.29
2002-12-10,215.97
2002-12-11,215.87
2002-12-12,214.97
2002-12-16,214.27
2002-12-17,214.34
2002-12-18,208.08
2002-12-19,207.35
2002-12-20,206.57
2002-12-23,206.43
2002-12-24,206.8
2002-12-25,206.62
2002-12-30,204.77
2002-12-31,204.44
2003-01-01,204.1
2003-01-02,203.61
2003-01-07,202.37
2003-01-13,200.82
2003-01-22,198.55
2003-01-23,198.78
2003-01-24,198.44
2003-01-27,199.03
2003-01-28,199.52
2003-01-29,199.78
2003-01-31,203.54
2003-02-03,213.3
2003-02-04,225.96
2003-02-05,227.4
2003-02-06,220.59
2003-02-07,217.14
2003-02-10,215.18
2003-02-11,213.7
2003-02-12,213.3
2003-02-13,211.52
2003-02-14,211.21
2003-02-17,211.28
2003-02-18,211.9
2003-02-20,211.3
2003-02-21,211.04
2003-02-24,211.99
2003-02-25,211.53
2003-02-26,210.59
